Age,Gender,Occasion,Preferences,Hobbies,Job,Past Gifts,Price Range,Suggested Gifts
16,Non-binary,Retirement,Anime & Comics,Gardening,Writer,Luxury Pen,"₹10,000-₹20,000",VR Headset
13,Prefer not to say,Birthday,Tech,Robotics,Artist,Book,"₹5000-₹10,000",Handmade Soap Set
75,Female,Housewarming,Home Decor,Podcasting,Student,Book,₹2000-₹5000,Portable Speaker
50,Male,Corporate,Eco-friendly,Photography,Biotechnologist,Perfume,"₹20,000+",Cooking Kit
31,Non-binary,Corporate,Books,Astrophotography,Freelancer,Candle Set,₹2000-₹5000,Book
11,Male,Appreciation,Books,Meditation,Psychologist,Board Game,₹500-₹2000,Fitness Tracker
6,Male,Graduation,Pets,Dancing,Business Owner,Coffee Maker,"₹20,000+",Limited Edition Sneakers
5,Non-binary,Milestone Hitting,Eco-friendly,Sports,Musician,Subscription Box,"₹20,000+",Customized Notebook
11,Male,Farewell,Self-care,Gardening,Scientist,VR Headset,"₹10,000-₹20,000",Smart Speaker
53,Non-binary,Acheivement,Music,Meditation,Psychologist,Subscription Box,"₹10,000-₹20,000",Board Game
75,Non-binary,Housewarming,Home Decor,Singing,Doctor,Jewelry,"₹10,000-₹20,000",Jewelry
60,Female,Bachelorette,Travel,Gardening,Pilot,Headphones,"₹10,000-₹20,000",Smart Speaker
59,Prefer not to say,Milestone Hitting,Pets,Martial Arts,Lawyer,Pet Accessories,₹100-₹500,Subscription Box
75,Female,Corporate,Books,Meditation,Therapist,Board Game,₹100-₹500,Leather Wallet
23,Male,Milestone Hitting,Home Decor,Dancing,Lawyer,Candle Set,₹2000-₹5000,Sunglasses
16,Prefer not to say,Bachelorette,Luxury,Knitting,Writer,Backpack,₹100-₹500,Digital Drawing Tablet
73,Prefer not to say,Bachelorette,Collectibles,Cooking,Researcher,Drone,"₹20,000+",Sports Jersey
77,Prefer not to say,Housewarming,Productivity,Dancing,Doctor,Headphones,₹100-₹500,Smart Speaker
77,Male,Festival,Art,Archery,Actor,Headphones,₹100-₹500,Drone
21,Prefer not to say,Graduation,Productivity,Archery,Athlete,Board Game,₹2000-₹5000,Puzzle Set
62,Prefer not to say,Corporate,Collectibles,Painting,Pilot,Wireless Charger,"₹10,000-₹20,000",Luxury Pen
35,Prefer not to say,Birthday,Gaming,Baking,Lawyer,Skincare Set,"₹5000-₹10,000",Sports Jersey
37,Male,Acheivement,Home Decor,Knitting,Student,Portable Speaker,"₹5000-₹10,000",DIY Craft Kit
33,Female,Anniversary,Gourmet,Woodworking,Engineer,Candle Set,₹100-₹500,Gaming Console
32,Other,Graduation,Art,Fishing,Actor,Smartwatch,₹500-₹2000,VR Headset
34,Other,Farewell,Adventure,Hiking,Scientist,Board Game,"₹10,000-₹20,000",Customized Notebook
71,Male,Wedding,Art,Cycling,Actor,VR Headset,₹2000-₹5000,Laptop Stand
42,Male,Bachelorette,Collectibles,Robotics,Musician,Gaming Console,"₹5000-₹10,000",Bluetooth Earbuds
33,Non-binary,Festival,Eco-friendly,Cycling,Biotechnologist,Customized Notebook,"₹10,000-₹20,000",Book
58,Female,Appreciation,Art,Singing,Designer,Gift Card,₹2000-₹5000,Smart Speaker
79,Female,Baby Shower,Luxury,Archery,Artist,Portable Speaker,₹2000-₹5000,Gift Card
61,Male,Graduation,Fashion,Gaming,Stock Trader,Concert Tickets,₹500-₹2000,Personalized Mug
21,Female,Success,Pets,Sports,Musician,Customized Notebook,₹500-₹2000,Camping Gear
37,Prefer not to say,Bachelorette,Travel,Sports,Therapist,Coffee Maker,"₹20,000+",Bluetooth Earbuds
44,Prefer not to say,Farewell,Productivity,Writing,Actor,Fitness Tracker,₹100-₹500,Candle Set
47,Non-binary,Birthday,Productivity,Travel Blogging,Writer,Luxury Pen,₹100-₹500,Portable Speaker
19,Other,Acheivement,Books,Woodworking,Athlete,Drone,₹500-₹2000,Drone
72,Non-binary,Acheivement,Tech,Gardening,Lawyer,Sports Jersey,"₹10,000-₹20,000",Drone
65,Female,Baby Shower,Art,Calligraphy,Entrepreneur,Subscription Box,₹100-₹500,Noise-Canceling Headphones
12,Prefer not to say,Success,Productivity,Robotics,Designer,Wireless Charger,₹2000-₹5000,VR Headset
13,Prefer not to say,Wedding,Productivity,Martial Arts,Artist,VR Headset,"₹20,000+",Gift Card
65,Prefer not to say,Milestone Hitting,Art,Podcasting,Veterinarian,Wireless Charger,₹500-₹2000,Noise-Canceling Headphones
37,Prefer not to say,Bachelorette,Travel,Astrophotography,Biotechnologist,Sunglasses,"₹5000-₹10,000",Sports Jersey
71,Non-binary,Baby Shower,Spirituality,Dancing,Lawyer,VR Headset,"₹20,000+",Puzzle Set
77,Female,Success,Fitness,Gardening,Musician,Wireless Charger,₹500-₹2000,Fitness Tracker
7,Male,Farewell,Gourmet,Baking,Scientist,Handbag,"₹20,000+",Board Game
58,Female,Farewell,Fashion,Sports,Musician,Smartwatch,"₹10,000-₹20,000",Mini Projector
61,Female,Bachelorette,DIY,Hiking,Scientist,Smartwatch,₹2000-₹5000,Perfume
39,Non-binary,Bachelorette,Anime & Comics,Hiking,Stock Trader,Perfume,"₹10,000-₹20,000",Coffee Maker
45,Non-binary,Festival,Science & Space,Cycling,Stock Trader,Customized Notebook,"₹5000-₹10,000",Massage Gun
17,Prefer not to say,Housewarming,Productivity,Woodworking,Fashion Designer,Portable Speaker,"₹10,000-₹20,000",Gift Card
42,Non-binary,Birthday,Pets,Gardening,Business Owner,VR Headset,"₹5000-₹10,000",Personalized Keychain
55,Other,Farewell,Gaming,Cycling,Veterinarian,Jewelry,"₹20,000+",Shoes
69,Prefer not to say,Bachelorette,Gourmet,Cooking,Entrepreneur,Customized Notebook,"₹10,000-₹20,000",Pet Accessories
61,Non-binary,Bachelorette,Pets,Calligraphy,Researcher,Gaming Console,"₹20,000+",Smartwatch
30,Non-binary,Farewell,Gourmet,Astrophotography,Actor,Luxury Pen,₹100-₹500,Concert Tickets
9,Non-binary,Corporate,Self-care,Gaming,Biotechnologist,Sunglasses,₹100-₹500,Sports Jersey
70,Other,Acheivement,Gourmet,Photography,Chef,Subscription Box,₹2000-₹5000,Concert Tickets
46,Non-binary,Success,Gaming,Travel Blogging,Astronomer,Personalized Mug,₹100-₹500,E-Reader
20,Other,Housewarming,Luxury,Writing,Business Owner,VR Headset,"₹5000-₹10,000",Massage Gun
33,Prefer not to say,Baby Shower,Books,Travel Blogging,Biotechnologist,Subscription Box,"₹10,000-₹20,000",Perfume
72,Other,Wedding,DIY,Woodworking,Entrepreneur,Gaming Console,₹500-₹2000,Noise-Canceling Headphones
19,Non-binary,Housewarming,Luxury,Painting,Teacher,Backpack,₹500-₹2000,Subscription Box
64,Other,Wedding,Fashion,Writing,Musician,Book,₹2000-₹5000,Portable Speaker
62,Female,Wedding,DIY,Hiking,Lawyer,Sports Jersey,₹500-₹2000,Shoes
29,Female,Success,Fitness,Singing,Freelancer,Luxury Pen,"₹5000-₹10,000",Camping Gear
61,Male,Farewell,Gaming,Cycling,Psychologist,Shoes,"₹10,000-₹20,000",Shoes
6,Female,Success,Fitness,Gardening,Artist,Skincare Set,"₹10,000-₹20,000",Limited Edition Sneakers
67,Prefer not to say,Baby Shower,Science & Space,Gaming,Business Owner,Personalized Mug,₹2000-₹5000,Drone
74,Other,Corporate,Anime & Comics,Painting,Actor,Backpack,"₹5000-₹10,000",Smart Home Device
73,Male,Baby Shower,Science & Space,Cooking,Student,Concert Tickets,"₹20,000+",Concert Tickets
13,Non-binary,Wedding,Luxury,Fishing,Biotechnologist,Portable Speaker,₹2000-₹5000,Portable Speaker
46,Other,Anniversary,Gourmet,Dancing,Engineer,Drone,"₹5000-₹10,000",Backpack
10,Non-binary,Retirement,Productivity,Archery,Lawyer,Subscription Box,₹2000-₹5000,Sports Jersey
77,Female,Farewell,Eco-friendly,Baking,Musician,Sports Jersey,₹2000-₹5000,Massage Gun
80,Prefer not to say,Baby Shower,Books,Martial Arts,Veterinarian,Luxury Pen,"₹5000-₹10,000",Fitness Tracker
63,Other,Wedding,Pets,Hiking,Researcher,Perfume,₹2000-₹5000,Concert Tickets
67,Non-binary,Anniversary,Tech,Cycling,Athlete,Candle Set,₹100-₹500,Running Shoes
66,Female,Milestone Hitting,Collectibles,Astrophotography,Student,VR Headset,"₹5000-₹10,000",Personalized Mug
71,Other,Festival,Home Decor,Knitting,Writer,Jewelry,₹100-₹500,Smart Speaker
53,Female,Corporate,Fashion,Photography,Researcher,Perfume,₹2000-₹5000,Book
79,Non-binary,Anniversary,Home Decor,Yoga,Musician,Portable Speaker,₹500-₹2000,Sunglasses
5,Male,Farewell,Spirituality,Travel Blogging,Freelancer,Skincare Set,₹2000-₹5000,Puzzle Set
67,Prefer not to say,Farewell,Tech,Dancing,Freelancer,Candle Set,₹2000-₹5000,Personalized Mug
48,Non-binary,Bachelorette,Productivity,Car Collecting,Entrepreneur,Fitness Tracker,₹2000-₹5000,Book
22,Female,Graduation,DIY,Martial Arts,Researcher,Board Game,₹500-₹2000,Personalized Keychain
62,Other,Baby Shower,Travel,Travel Blogging,Artist,Skincare Set,₹100-₹500,Candle Set
13,Prefer not to say,Wedding,Home Decor,Dancing,Freelancer,Sunglasses,"₹10,000-₹20,000",Puzzle Set
79,Female,Wedding,Gourmet,Dancing,Writer,Gift Card,"₹20,000+",Smart Home Device
11,Female,Graduation,Self-care,Calligraphy,Entrepreneur,Wireless Charger,"₹10,000-₹20,000",Camping Gear
47,Non-binary,Acheivement,Books,Baking,Veterinarian,Limited Edition Sneakers,₹100-₹500,Massage Gun
68,Prefer not to say,Bachelorette,Travel,Painting,Athlete,Jewelry,₹2000-₹5000,Running Shoes
60,Male,Bachelorette,Books,Astrophotography,Teacher,Backpack,₹500-₹2000,Leather Wallet
75,Female,Festival,Music,Sports,Pilot,Pet Accessories,₹2000-₹5000,Customized Notebook
79,Non-binary,Farewell,Science & Space,Hiking,Fashion Designer,Backpack,₹100-₹500,Digital Drawing Tablet
62,Prefer not to say,Appreciation,Pets,Photography,Biotechnologist,Perfume,"₹10,000-₹20,000",Smartwatch
28,Female,Corporate,Gaming,Sports,Teacher,Gift Card,"₹10,000-₹20,000",Action Figures
79,Non-binary,Corporate,Adventure,Writing,Freelancer,Handbag,"₹20,000+",Noise-Canceling Headphones
60,Other,Corporate,Adventure,Gaming,Astronomer,Sports Jersey,"₹5000-₹10,000",Smart Home Device
14,Other,Farewell,Eco-friendly,Travel Blogging,Writer,Subscription Box,"₹20,000+",Book
18,Non-binary,Birthday,Anime & Comics,Podcasting,Business Owner,Customized Notebook,"₹10,000-₹20,000",Mini Projector
72,Non-binary,Graduation,Pets,Woodworking,Psychologist,Portable Speaker,"₹5000-₹10,000",Bluetooth Earbuds
14,Non-binary,Festival,Collectibles,Fishing,Pilot,Perfume,"₹20,000+",Personalized Mug
79,Male,Wedding,Spirituality,Reading,Freelancer,Concert Tickets,₹100-₹500,Skincare Set
13,Non-binary,Acheivement,Tech,Fishing,Musician,Luxury Pen,₹2000-₹5000,Tea Collection Set
73,Male,Appreciation,Collectibles,Robotics,Teacher,Subscription Box,"₹10,000-₹20,000",Mini Projector
28,Male,Acheivement,Luxury,Yoga,Business Owner,Concert Tickets,₹2000-₹5000,Puzzle Set
66,Prefer not to say,Milestone Hitting,Science & Space,Reading,Writer,Portable Speaker,"₹10,000-₹20,000",Customized Notebook
58,Female,Festival,Eco-friendly,Dancing,Astronomer,Luxury Pen,₹2000-₹5000,Camping Gear
56,Prefer not to say,Retirement,Luxury,Astrophotography,Student,Drone,"₹10,000-₹20,000",Gaming Console
28,Male,Baby Shower,Spirituality,Baking,Artist,Subscription Box,₹500-₹2000,Handbag
39,Non-binary,Baby Shower,Eco-friendly,Baking,Stock Trader,Personalized Mug,"₹5000-₹10,000",Comic Books
21,Non-binary,Anniversary,Home Decor,Astrophotography,Student,Personalized Mug,₹2000-₹5000,Handbag
27,Male,Wedding,DIY,Writing,Freelancer,Backpack,₹2000-₹5000,Personalized Keychain
62,Other,Farewell,Self-care,Robotics,Teacher,Coffee Maker,"₹5000-₹10,000",Smartwatch
22,Prefer not to say,Wedding,Fashion,Meditation,Stock Trader,Smartwatch,₹100-₹500,Subscription Box
8,Female,Success,Self-care,Photography,Politician,Shoes,₹2000-₹5000,Personalized Keychain
6,Non-binary,Milestone Hitting,Home Decor,Robotics,Freelancer,Gift Card,"₹10,000-₹20,000",Digital Drawing Tablet
47,Female,Acheivement,DIY,Fishing,Therapist,Pet Accessories,₹2000-₹5000,Board Game
58,Non-binary,Housewarming,Travel,Singing,Fashion Designer,Skincare Set,₹100-₹500,Smartwatch
68,Other,Graduation,DIY,Hiking,Fashion Designer,Backpack,"₹10,000-₹20,000",Shoes
62,Non-binary,Corporate,Music,Sports,Pilot,Shoes,₹2000-₹5000,Customized Notebook
16,Prefer not to say,Acheivement,Tech,Reading,Veterinarian,Luxury Pen,₹2000-₹5000,Wireless Charger
61,Non-binary,Milestone Hitting,Spirituality,Car Collecting,Teacher,Portable Speaker,₹2000-₹5000,Candle Set
70,Other,Wedding,Science & Space,Sports,Writer,Candle Set,₹500-₹2000,Vinyl Records
36,Female,Acheivement,Collectibles,Singing,Freelancer,Perfume,₹100-₹500,Backpack
54,Other,Wedding,Pets,Robotics,Veterinarian,Handbag,₹2000-₹5000,Customized Notebook
41,Other,Housewarming,Fashion,Writing,Writer,Coffee Maker,₹100-₹500,Fitness Tracker
56,Prefer not to say,Graduation,Self-care,Writing,Stock Trader,Customized Notebook,"₹20,000+",Action Figures
58,Female,Appreciation,Science & Space,Woodworking,Veterinarian,Candle Set,"₹20,000+",Camping Gear
22,Male,Acheivement,Self-care,Baking,Artist,Customized Notebook,"₹5000-₹10,000",Tea Collection Set
14,Non-binary,Milestone Hitting,Music,Hiking,Lawyer,Board Game,₹500-₹2000,Coffee Maker
71,Other,Housewarming,Music,Car Collecting,Psychologist,Board Game,"₹20,000+",Jewelry
17,Non-binary,Farewell,Anime & Comics,Archery,Psychologist,Gaming Console,"₹10,000-₹20,000",Puzzle Set
34,Non-binary,Appreciation,Adventure,Fishing,Fashion Designer,Board Game,"₹10,000-₹20,000",Camping Gear
22,Non-binary,Anniversary,Home Decor,Astrophotography,Therapist,Jewelry,₹500-₹2000,VR Headset
67,Male,Baby Shower,Travel,Writing,Lawyer,VR Headset,₹500-₹2000,Massage Gun
38,Female,Wedding,Eco-friendly,Fishing,Actor,Book,"₹5000-₹10,000",Subscription Box
20,Male,Acheivement,Travel,Gaming,Athlete,Candle Set,"₹5000-₹10,000",Smart Home Device
55,Other,Festival,Fashion,Fishing,Freelancer,Smartwatch,₹100-₹500,Backpack
21,Other,Birthday,Productivity,Gaming,Therapist,Board Game,"₹10,000-₹20,000",E-Reader
27,Prefer not to say,Anniversary,Art,Archery,Freelancer,Sunglasses,₹500-₹2000,E-Reader
72,Male,Housewarming,Music,Knitting,Freelancer,Smartwatch,₹500-₹2000,Fitness Tracker
51,Female,Baby Shower,Productivity,Reading,Stock Trader,Skincare Set,"₹5000-₹10,000",DIY Craft Kit
49,Other,Farewell,Collectibles,Travel Blogging,Teacher,Coffee Maker,"₹20,000+",Digital Drawing Tablet
31,Male,Success,Pets,Podcasting,Stock Trader,Book,"₹10,000-₹20,000",Perfume
18,Female,Success,Books,Archery,Stock Trader,Skincare Set,"₹5000-₹10,000",Action Figures
20,Female,Graduation,Gourmet,Hiking,Lawyer,Sunglasses,"₹5000-₹10,000",Leather Wallet
51,Other,Festival,DIY,Woodworking,Doctor,Wireless Charger,"₹5000-₹10,000",Comic Books
34,Other,Appreciation,Adventure,Singing,Teacher,Jewelry,₹2000-₹5000,Book
43,Prefer not to say,Festival,Travel,Sports,Student,VR Headset,₹100-₹500,Running Shoes
70,Other,Appreciation,Books,Dancing,Researcher,Sports Jersey,"₹20,000+",Succulent Plant Set
35,Male,Corporate,Science & Space,Hiking,Business Owner,Board Game,₹100-₹500,Handmade Soap Set
17,Prefer not to say,Housewarming,Fitness,Meditation,Therapist,Backpack,₹500-₹2000,Smart Speaker
80,Prefer not to say,Retirement,Adventure,Knitting,Politician,Book,"₹10,000-₹20,000",Leather Wallet
18,Non-binary,Retirement,Collectibles,Car Collecting,Pilot,Gaming Console,"₹20,000+",Laptop Stand
61,Other,Retirement,Books,Travel Blogging,Veterinarian,Pet Accessories,₹500-₹2000,E-Reader
69,Other,Baby Shower,Fitness,Gaming,Pilot,Sports Jersey,"₹20,000+",Perfume
27,Prefer not to say,Milestone Hitting,Eco-friendly,Woodworking,Freelancer,Board Game,₹500-₹2000,Sports Jersey
46,Prefer not to say,Acheivement,Music,Martial Arts,Fashion Designer,Wireless Charger,"₹10,000-₹20,000",Gift Card
36,Female,Acheivement,Self-care,Car Collecting,Chef,Sports Jersey,"₹5000-₹10,000",Handmade Soap Set
42,Other,Retirement,Home Decor,Yoga,Astronomer,Pet Accessories,"₹10,000-₹20,000",Candle Set
46,Other,Bachelorette,Fitness,Yoga,Athlete,Board Game,₹2000-₹5000,VR Headset
33,Prefer not to say,Housewarming,Science & Space,Woodworking,Fashion Designer,Customized Notebook,"₹5000-₹10,000",VR Headset
59,Prefer not to say,Birthday,Gaming,Knitting,Politician,Personalized Mug,₹2000-₹5000,Leather Wallet
38,Other,Appreciation,DIY,Archery,Athlete,Customized Notebook,"₹20,000+",Drone
6,Other,Corporate,Gaming,Astrophotography,Artist,Board Game,"₹5000-₹10,000",Sunglasses
23,Male,Birthday,Music,Martial Arts,Chef,Perfume,"₹20,000+",Book
31,Other,Graduation,Fitness,Travel Blogging,Writer,Coffee Maker,"₹10,000-₹20,000",Wireless Charger
50,Female,Wedding,Gaming,Dancing,Freelancer,Luxury Pen,₹2000-₹5000,Comic Books
39,Non-binary,Corporate,Anime & Comics,Sports,Veterinarian,Sunglasses,"₹10,000-₹20,000",Comic Books
24,Other,Wedding,Art,Knitting,Business Owner,Customized Notebook,"₹10,000-₹20,000",Backpack
10,Prefer not to say,Baby Shower,Spirituality,Car Collecting,Therapist,Backpack,₹500-₹2000,Gaming Console
53,Male,Farewell,Science & Space,Reading,Politician,Gaming Console,₹100-₹500,Coffee Maker
53,Other,Housewarming,Art,Knitting,Business Owner,Pet Accessories,₹2000-₹5000,Noise-Canceling Headphones
5,Female,Appreciation,Spirituality,Yoga,Musician,Limited Edition Sneakers,"₹20,000+",Coffee Maker
79,Female,Corporate,Science & Space,Painting,Athlete,Handbag,₹2000-₹5000,Concert Tickets
35,Male,Housewarming,Gaming,Podcasting,Scientist,Coffee Maker,₹2000-₹5000,Painting Kit
76,Non-binary,Wedding,Tech,Hiking,Veterinarian,Candle Set,"₹20,000+",Backpack
68,Non-binary,Acheivement,Luxury,Car Collecting,Freelancer,Sports Jersey,₹2000-₹5000,Bluetooth Earbuds
12,Female,Farewell,Gaming,Cycling,Artist,Limited Edition Sneakers,₹500-₹2000,Handbag
58,Other,Appreciation,DIY,Sports,Scientist,Board Game,₹500-₹2000,Subscription Box
53,Male,Acheivement,DIY,Yoga,Actor,Portable Speaker,₹2000-₹5000,Handbag
34,Female,Wedding,Tech,Sports,Scientist,Headphones,₹500-₹2000,Customized Notebook
78,Non-binary,Appreciation,Art,Photography,Freelancer,Luxury Pen,₹2000-₹5000,Board Game
53,Non-binary,Appreciation,Luxury,Martial Arts,Student,Pet Accessories,"₹20,000+",Pet Accessories
38,Female,Farewell,Self-care,Travel Blogging,Teacher,Sports Jersey,₹2000-₹5000,Tea Collection Set
33,Other,Farewell,Tech,Calligraphy,Student,Limited Edition Sneakers,"₹10,000-₹20,000",Running Shoes
36,Other,Retirement,Collectibles,Fishing,Lawyer,Sunglasses,"₹10,000-₹20,000",Digital Drawing Tablet
54,Other,Housewarming,Fashion,Podcasting,Therapist,Coffee Maker,"₹20,000+",Leather Wallet
7,Male,Farewell,Fashion,Calligraphy,Stock Trader,Personalized Mug,"₹5000-₹10,000",Camping Gear
65,Male,Wedding,Art,Meditation,Psychologist,Perfume,₹100-₹500,E-Reader
20,Prefer not to say,Housewarming,Eco-friendly,Archery,Freelancer,Handbag,₹500-₹2000,Personalized Mug
21,Non-binary,Housewarming,Fashion,Dancing,Musician,Pet Accessories,₹500-₹2000,Comic Books
14,Non-binary,Farewell,Fitness,Calligraphy,Therapist,Limited Edition Sneakers,₹100-₹500,Handmade Soap Set
46,Female,Retirement,Fitness,Sports,Artist,Concert Tickets,₹100-₹500,Backpack
40,Male,Housewarming,Adventure,Archery,Freelancer,Portable Speaker,"₹10,000-₹20,000",Drone
44,Male,Wedding,Fashion,Fishing,Athlete,Smartwatch,"₹10,000-₹20,000",Pet Accessories
13,Male,Festival,Fashion,Podcasting,Therapist,Luxury Pen,₹100-₹500,Vinyl Records
19,Male,Corporate,Travel,Meditation,Freelancer,Luxury Pen,"₹10,000-₹20,000",Sunglasses
48,Female,Anniversary,Luxury,Yoga,Fashion Designer,Drone,"₹5000-₹10,000",Gift Card
9,Non-binary,Festival,Fitness,Cycling,Chef,Customized Notebook,"₹20,000+",Limited Edition Sneakers
51,Female,Farewell,Tech,Car Collecting,Fashion Designer,VR Headset,"₹20,000+",Handmade Soap Set
6,Prefer not to say,Acheivement,DIY,Baking,Fashion Designer,Gaming Console,₹500-₹2000,Sports Jersey
33,Male,Corporate,Collectibles,Podcasting,Lawyer,VR Headset,₹500-₹2000,Painting Kit
22,Non-binary,Anniversary,Travel,Gardening,Engineer,Wireless Charger,₹500-₹2000,Leather Wallet
20,Non-binary,Retirement,Music,Fishing,Designer,Perfume,₹500-₹2000,E-Reader
41,Prefer not to say,Housewarming,Productivity,Painting,Scientist,Luxury Pen,"₹10,000-₹20,000",Handbag
65,Non-binary,Housewarming,Fashion,Hiking,Researcher,Personalized Mug,"₹5000-₹10,000",E-Reader
13,Other,Corporate,Luxury,Dancing,Freelancer,Handbag,₹2000-₹5000,Running Shoes
68,Female,Corporate,Spirituality,Meditation,Astronomer,Backpack,₹100-₹500,Perfume
68,Non-binary,Farewell,Spirituality,Travel Blogging,Lawyer,Customized Notebook,₹500-₹2000,Customized Notebook
19,Male,Appreciation,Eco-friendly,Fishing,Veterinarian,Gift Card,₹100-₹500,Vinyl Records
5,Non-binary,Milestone Hitting,Productivity,Car Collecting,Teacher,Sunglasses,"₹10,000-₹20,000",Running Shoes
16,Male,Bachelorette,Adventure,Reading,Musician,Gift Card,"₹5000-₹10,000",Pet Accessories
70,Prefer not to say,Farewell,Pets,Woodworking,Biotechnologist,Fitness Tracker,"₹20,000+",Smart Speaker
77,Non-binary,Graduation,Art,Astrophotography,Astronomer,Jewelry,"₹10,000-₹20,000",Gaming Console
31,Prefer not to say,Bachelorette,Spirituality,Reading,Athlete,Wireless Charger,₹100-₹500,Leather Wallet
48,Male,Birthday,Travel,Cycling,Teacher,Luxury Pen,₹500-₹2000,Customized Notebook
14,Female,Housewarming,Adventure,Calligraphy,Engineer,Subscription Box,₹100-₹500,Pet Accessories
77,Female,Graduation,Music,Baking,Scientist,Shoes,₹500-₹2000,Action Figures
12,Other,Festival,Self-care,Dancing,Athlete,Limited Edition Sneakers,"₹5000-₹10,000",Gift Card
73,Other,Wedding,Fashion,Writing,Pilot,Candle Set,"₹20,000+",Mini Projector
68,Female,Acheivement,Gourmet,Gardening,Artist,VR Headset,₹100-₹500,Tea Collection Set
35,Other,Success,Self-care,Cycling,Biotechnologist,Smartwatch,"₹20,000+",Succulent Plant Set
41,Female,Corporate,Self-care,Photography,Teacher,Skincare Set,₹500-₹2000,Personalized Keychain
5,Prefer not to say,Festival,Spirituality,Painting,Teacher,Customized Notebook,"₹5000-₹10,000",Personalized Keychain
80,Prefer not to say,Wedding,Books,Fishing,Entrepreneur,Customized Notebook,₹2000-₹5000,Laptop Stand
70,Female,Corporate,Fitness,Travel Blogging,Astronomer,Pet Accessories,₹500-₹2000,Action Figures
26,Prefer not to say,Housewarming,Gourmet,Writing,Researcher,Coffee Maker,"₹20,000+",Pet Accessories
36,Female,Farewell,Home Decor,Cycling,Athlete,Luxury Pen,₹100-₹500,Puzzle Set
54,Female,Housewarming,Adventure,Meditation,Freelancer,Concert Tickets,"₹5000-₹10,000",Succulent Plant Set
44,Female,Corporate,Tech,Podcasting,Stock Trader,Board Game,"₹5000-₹10,000",Perfume
